,_id,player,manager,gca,shots_on_target,assists,pressures,tackles,interceptions,blocks,average point by temp,count(manager)
127,6193c0a3d4e110bca6418a81,Samy-Mmaee,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
128,6193c0a3d4e110bca6418a82,Giuseppina-Moraca,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
129,6193c0a3d4e110bca6418a83,Omar-Monjaraz,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
130,6193c0a3d4e110bca6418a84,Billy-Mitchell,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
131,6193c0a3d4e110bca6418a85,Tran-Minh-Vuong,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
132,6193c0a3d4e110bca6418a86,Ognjen-Milanovic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
133,6193c0a3d4e110bca6418a87,Stefan-Mitrovic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
134,6193c0a3d4e110bca6418a88,Claudiu-Moisie,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
135,6193c0a3d4e110bca6418a89,Alexander-Milosevic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
136,6193c0a3d4e110bca6418a8a,Vladimir-Miletic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
137,6193c0a3d4e110bca6418a8b,Roxanne-Micallef,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
138,6193c0a3d4e110bca6418a8c,Justin-Mico,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
139,6193c0a3d4e110bca6418a8d,Hrayr-Mkoyan,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
140,6193c0a3d4e110bca6418a8e,Zin-Min-Tun,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
141,6193c0a3d4e110bca6418a8f,Anna-Moorhouse,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
142,6193c0a3d4e110bca6418a90,Anselmo-de-Moraes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
143,6193c0a3d4e110bca6418a91,Nikolaj-Moller,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
144,6193c0a3d4e110bca6418a92,Gonzalo-Montiel,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
145,6193c0a3d4e110bca6418a93,Marvin-Monterrosa,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
146,6193c0a3d4e110bca6418a94,Dinu-Moldovan,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0
147,6193c0a3d4e110bca6418a95,Lucas-Mineiro,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
148,6193c0a3d4e110bca6418a96,Song-Minkyu,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
149,6193c0a3d4e110bca6418a97,Enea-Mihaj,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
150,6193c0a3d4e110bca6418a98,Ryohei-Michibuchi,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
151,6193c0a3d4e110bca6418a99,Vasile-Mogos,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
152,6193c0a3d4e110bca6418a9a,Takumi-Minamino,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
153,6193c0a3d4e110bca6418a9b,Joaquin-Montecinos,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
154,6193c0a3d4e110bca6418a9c,Matt-Miazga,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
155,6193c0a3d4e110bca6418a9d,Milan-Milanovic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
156,6193c0a3d4e110bca6418a9e,Gianvito-Misuraca,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
157,6193c0a3d4e110bca6418a9f,Monchu,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
158,6193c0a3d4e110bca6418aa0,Dominic-Minz,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
159,6193c0a3d4e110bca6418aa1,Mihail-Minkov,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
160,6193c0a3d4e110bca6418aa2,Calvin-Miller,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
161,6193c0a3d4e110bca6418aa3,Ross-Millen,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
162,6193c0a3d4e110bca6418aa4,Nemanja-Micevic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
163,6193c0a3d4e110bca6418aa5,Nhlanhla-Mgaga,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
164,6193c0a3d4e110bca6418aa6,Daryl-van-Mieghem,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
165,6193c0a3d4e110bca6418aa7,Jabari-Mitchell,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
166,6193c0a3d4e110bca6418aa8,Nikolay-Mihaylov,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
167,6193c0a3d4e110bca6418aa9,Aleksandar-Miladinovic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
168,6193c0a3d4e110bca6418aaa,Zane-Monlouis,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
169,6193c0a3d4e110bca6418aab,Dauda-Mohammed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
170,6193c0a3d4e110bca6418aac,Quirin-Moll,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
171,6193c0a3d4e110bca6418aad,Daniel-Mooney,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
172,6193c0a3d4e110bca6418aae,Gape-Moralo,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
