Player,Min,CS%,PKsv,PKm,Country,Year,Comp
Bogdan Lobont,990,36.4,0.0,0.0,Romania,2006, WCQ — UEFA (M)
Igor Akinfeev,540,50.0,0.0,0.0,Russia,2006, WCQ — UEFA (M)
Akil Byron,450.0,20.0,0.0,0.0,Saint,2006, WCQ — CONCACAF (M)
Giovanni Deterville,360,50.0,0.0,0.0,Saint,2006, WCQ — CONCACAF (M)
Melvin Andrews,630,28.6,0.0,0.0,Saint,2006, WCQ — CONCACAF (M)
Federico Gasperoni,630,0.0,0.0,0.0,San,2006, WCQ — UEFA (M)
Mabrouk Zaid,270,0.0,0.0,0.0,Saudi,2006, FIFA World Cup
Craig Gordon,861,44.4,0.0,0.0,Scotland,2006, WCQ — UEFA (M)
Dragoslav Jevric,270,0.0,0.0,0.0,Serbia,2006, FIFA World Cup
Hassan Sunny,450,20.0,0.0,0.0,Singapore,2006, WCQ — AFC (M)
Kamil Contofalsky,"1,170",38.5,0.0,0.0,Slovakia,2006, WCQ — UEFA (M)
Borut Mavric,450,40.0,0.0,0.0,Slovenia,2006, WCQ — UEFA (M)
Iker Casillas,270,33.3,0.0,0.0,Spain,2006, FIFA World Cup
Sugath Dammika,720,25.0,0.0,0.0,Sri,2006, WCQ — AFC (M)
Harold Blokland,270,0.0,0.0,0.0,Suriname,2006, WCQ — CONCACAF (M)
Andreas Isaksson,270,33.3,0.0,0.0,Sweden,2006, FIFA World Cup
Pascal Zuberbuhler,390,100.0,0.0,0.0,Switzerland,2006, FIFA World Cup
Mahmoud Karkar,270,33.3,0.0,0.0,Syria,2006, WCQ — AFC (M)
Aslidin Habibulloev,720,37.5,0.0,0.0,Tajikistan,2006, WCQ — AFC (M)
Sinthaweechai Hathairattanakool,540,33.3,0.0,0.0,Thailand,2006, WCQ — AFC (M)
Kossi Agassa,270,0.0,0.0,0.0,Togo,2006, FIFA World Cup
Shaka Hislop,180,50.0,0.0,0.0,Trinidad,2006, FIFA World Cup
Ali Boumnijel,270,0.0,0.0,0.0,Tunisia,2006, FIFA World Cup
Rustu Recber,720,50.0,0.0,0.0,Turkey,2006, WCQ — UEFA (M)
Bayramnyyaz Berdiyew,360,50.0,0.0,0.0,Turkmenistan,2006, WCQ — AFC (M)
Gerard Gregg,180,0.0,0.0,0.0,Turks,2006, WCQ — CONCACAF (M)
Oleksandr Shovkovskiy,480,60.0,0.0,0.0,Ukraine,2006, FIFA World Cup
Mutaz Abdulla,180,50.0,0.0,0.0,United,2006, WCQ — AFC (M)
Terrence Jones,180,0.0,0.0,0.0,United,2006, WCQ — CONCACAF (M)
Kasey Keller,270,0.0,0.0,0.0,United,2006, FIFA World Cup
Aleksey Polyakov,540,33.3,0.0,0.0,Uzbekistan,2006, WCQ — AFC (M)
Nguyen Manh Dung,,,,,Vietnam,2006, WCQ — AFC (M)
Paul Jones,540,16.7,0.0,0.0,Wales,2006, WCQ — UEFA (M)
Muaadh Abdulkhalek,507,0.0,0.0,0.0,Yemen,2006, WCQ — AFC (M)
Mark Schwarzer,390,25.0,0.0,0.0,Australia,2007, Asian Cup
Abdulrahman Abdulkarim,270,0.0,0.0,0.0,Bahrain,2007, Asian Cup
Aminul Hoque,361,0.0,0.0,0.0,Bangladesh,2007, AFC Asian Cup qualification
Li Leilei,180,0.0,0.0,0.0,China,2007, Asian Cup
Lu Kun-chi,540,0.0,0.0,0.0,Chinese,2007, AFC Asian Cup qualification
Fan Chun Yip,540,50.0,0.0,0.0,Hong,2007, AFC Asian Cup qualification
Sandip Nandy,540,0.0,0.0,0.0,India,2007, AFC Asian Cup qualification
