,NomDesClubs,lienClubDetails,SexeDuClub,divisionDuClub,linkDivisionDetail,DebutSaisonSave,DerniereSaisonSave,NombreDeCompetitionJoue,nombreDePremierePlace
0,Torquay United FC,https://fbref.com/fr/equipes/02d8c2aa/historique/Stats-et-historique-de-Torquay-United,H,National League,https://fbref.com/fr/comps/34/Statistiques-National-League,2002-2003,2021-2022,19,0
0,Torrington FC,https://fbref.com/fr/equipes/3e6b6050/historique/Stats-et-historique-de-Torrington-FC,H, -- no info -- ,pas de détails ,2020-2021,2020-2021,0,
0,Tottenham Hotspur FC,https://fbref.com/fr/equipes/361ca564/historique/Stats-et-historique-de-Tottenham-Hotspur,H,Premier League,https://fbref.com/fr/comps/9/Statistiques-Premier-League,1992-1993,2021-2022,30,0
0,Tottenham Hotspur FC U23,https://fbref.com/fr/equipes/456c5e63/historique/Stats-et-historique-de-Tottenham-Hotspur-U23,H,Premier League 2 — Division 1,https://fbref.com/fr/comps/852/Statistiques-Premier-League-2----Division-1,2016-2017,2021-2022,6,
0,Tottenham Hotspur LFC,https://fbref.com/fr/equipes/e8e4577c/historique/Stats-et-historique-de-Tottenham-Hotspur-LFC,F,FA Women's Super League,https://fbref.com/fr/comps/189/Statistiques-Womens-Super-League,2019-2020,2021-2022,3,
0,Totton & Eling FC,https://fbref.com/fr/equipes/28fedcf7/historique/Stats-et-historique-de-Totton-and-Eling,H, -- no info -- ,pas de détails ,2020-2021,2020-2021,0,
0,Tower Hamlets FC,https://fbref.com/fr/equipes/45ecbb46/historique/Stats-et-historique-de-Tower-Hamlets-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Trafford FC,https://fbref.com/fr/equipes/39260309/historique/Stats-et-historique-de-Trafford-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Tranmere Rovers FC,https://fbref.com/fr/equipes/22327064/historique/Stats-et-historique-de-Tranmere-Rovers,H,EFL League Two,https://fbref.com/fr/comps/16/Statistiques-League-Two,2002-2003,2021-2022,20,0
0,Tring Athletic FC,https://fbref.com/fr/equipes/4a5e33cc/historique/Stats-et-historique-de-Tring-Athletic-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Truro City FC,https://fbref.com/fr/equipes/6791c26a/historique/Stats-et-historique-de-Truro-City-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,0
0,Tuffley Rovers FC,https://fbref.com/fr/equipes/e489d347/historique/Stats-et-historique-de-Tuffley-Rovers-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Tunbridge Wells FC,https://fbref.com/fr/equipes/f219726a/historique/Stats-et-historique-de-Tunbridge-Wells-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,United Services Portsmouth FC,https://fbref.com/fr/equipes/0bf5b5a2/historique/Stats-et-historique-de-United-Services-Portsmouth-FC,H, -- no info -- ,pas de détails ,2018-2019,2021-2022,0,
0,Uttoxeter Town FC,https://fbref.com/fr/equipes/a3d33f10/historique/Stats-et-historique-de-Uttoxeter-Town-FC,H, -- no info -- ,pas de détails ,2021-2022,2021-2022,0,
0,Uxbridge FC,https://fbref.com/fr/equipes/39b14bc5/historique/Stats-et-historique-de-Uxbridge-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Vauxhall Motors FC,https://fbref.com/fr/equipes/1782aadf/historique/Stats-et-historique-de-Vauxhall-Motors,H, -- no info -- ,pas de détails ,2019-2020,2021-2022,0,
0,VCD Athletic FC,https://fbref.com/fr/equipes/746055cb/historique/Stats-et-historique-de-VCD-Athletic-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Verwood Town FC,https://fbref.com/fr/equipes/00c22da5/historique/Stats-et-historique-de-Verwood-Town-FC,H, -- no info -- ,pas de détails ,2017-2018,2017-2018,0,
0,Virginia Water FC,https://fbref.com/fr/equipes/4c989f6a/historique/Stats-et-historique-de-Virginia-Water-FC,H, -- no info -- ,pas de détails ,2019-2020,2021-2022,0,
0,Walsall FC,https://fbref.com/fr/equipes/d96bbc04/historique/Stats-et-historique-de-Walsall,H,EFL League Two,https://fbref.com/fr/comps/16/Statistiques-League-Two,2001-2002,2021-2022,21,1
0,Walsall Wood FC,https://fbref.com/fr/equipes/fcc5601f/historique/Stats-et-historique-de-Walsall-Wood-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Walsham-le-Willows FC,https://fbref.com/fr/equipes/bce68537/historique/Stats-et-historique-de-Walsham-le-Willows-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Waltham Abbey FC,https://fbref.com/fr/equipes/b0f2c259/historique/Stats-et-historique-de-Waltham-Abbey-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Waltham Forest FC,https://fbref.com/fr/equipes/397656f5/historique/Stats-et-historique-de-Waltham-Forest-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Walton & Hersham FC,https://fbref.com/fr/equipes/f5d99ab5/historique/Stats-et-historique-de-Walton-and-Hersham-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Walton Casuals FC,https://fbref.com/fr/equipes/2c2e15c8/historique/Stats-et-historique-de-Walton-Casuals-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Wantage Town FC,https://fbref.com/fr/equipes/02c356ac/historique/Stats-et-historique-de-Wantage-Town-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Ware FC,https://fbref.com/fr/equipes/fbec31be/historique/Stats-et-historique-de-Ware-FC,H, -- no info -- ,pas de détails ,2017-2018,2021-2022,0,
0,Warrington Town FC,https://fbref.com/fr/equipes/3e317057/historique/Stats-et-historique-de-Warrington-Town-FC,H, -- no info -- ,pas de détails ,2014-2015,2021-2022,0,0
0,Washington FC,https://fbref.com/fr/equipes/ba3008bb/historique/Stats-et-historique-de-Washington-FC,H, -- no info -- ,pas de détails ,2017-2018,2018-2019,0,
0,Watford FC,https://fbref.com/fr/equipes/2abfe087/historique/Stats-et-historique-de-Watford,H,Premier League,https://fbref.com/fr/comps/9/Statistiques-Premier-League,1999-2000,2021-2022,22,0
0,Wealdstone FC,https://fbref.com/fr/equipes/6598bf6b/historique/Stats-et-historique-de-Wealdstone-FC,H,National League,https://fbref.com/fr/comps/34/Statistiques-National-League,2015-2016,2021-2022,2,0
0,Wednesfield FC,https://fbref.com/fr/equipes/82bda106/historique/Stats-et-historique-de-Wednesfield-FC,H, -- no info -- ,pas de détails ,2018-2019,2019-2020,0,
0,Welling Town FC,https://fbref.com/fr/equipes/84687b65/historique/Stats-et-historique-de-Welling-Town-FC,H, -- no info -- ,pas de détails ,2019-2020,2021-2022,0,
