Joueur,nationalite,equipe,age,poste,date_naissance,temps_de_jeu,matchs_joues,matchs_debutes,but_marques,but_marques_90,action_menant_but,action_menant_but_90,tirs_cardres_90,tirs_cardres_pourcent,tirs_total,passes_completees,passes_completees_pourcent,interceptions,tirs_blockes,tirs_menant_but_blockes,pressions_recupant_ball_pourcent,pressions,tackles,tackles_reussi,tackle_reussi_pct
Mickael-Malsa,mq MTQ,Levante,26-034,MF,1995,398.0,8.0,4.0,0.0,0.0,1.0,0.23,0.23,20.0,5.0,157.0,84.0,7.0,2.0,0.0,32.4,68.0,15.0,10.0,62.5
Giorgi-Mamardashvili,ge GEO,Valencia,21-047,GK,2000,540.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,59.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aissa-Mandi,dz ALG,Villarreal,30-024,DF,1991,630.0,7.0,7.0,0.0,0.0,0.0,0.0,0.14,25.0,4.0,443.0,94.9,5.0,7.0,1.0,32.4,34.0,6.0,3.0,42.857142857142854
Maranhao,br BRA,Valencia,25-026,"FW,MF",1996,432.0,11.0,3.0,1.0,0.21,1.0,0.21,1.25,37.5,16.0,56.0,66.7,4.0,0.0,0.0,17.3,98.0,6.0,3.0,42.857142857142854
Nikola-Maras,rs SRB,Rayo Vallecano,25-331,DF,1995,282.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,82.8,4.0,5.0,0.0,27.3,22.0,1.0,0.0,0.0
Marcelo,br BRA,Real Madrid,33-187,DF,1988,89.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,75.0,3.0,0.0,0.0,50.0,6.0,1.0,1.0,50.0
Ivan-Marcone,ar ARG,Elche,31-165,MF,1990,349.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,84.9,4.0,1.0,0.0,39.6,53.0,12.0,8.0,61.53846153846154
Oscar-de-Marcos,es ESP,Athletic Club,32-215,DF,1989,348.0,5.0,4.0,0.0,0.0,0.0,0.0,0.26,100.0,1.0,160.0,75.8,5.0,0.0,0.0,23.1,52.0,9.0,5.0,50.0
Jose-Maria-Gimenez,uy URU,Atlético Madrid,26-299,DF,1995,807.0,9.0,9.0,0.0,0.0,1.0,0.11,0.22,20.0,10.0,353.0,91.2,12.0,10.0,0.0,38.0,50.0,12.0,9.0,69.23076923076923
Mariano,do DOM,Real Madrid,28-106,FW,1993,90.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,25.0,4.0,13.0,81.3,0.0,0.0,0.0,11.1,9.0,0.0,0.0,0.0
