_id,player,captain,gca,shots_on_target,assists,pressures,tackles,interceptions,blocks,average point by temp
618f94ab88307f48ce0ab617,Zukile-Mkhize,Lebohang Mokoena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab618,Buhle-Mkhwanazi,Denis Weidlich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab619,Jonas-Mkude,Himid Mao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ab88307f48ce0ab61a,Sebastian-Mladen,Razvan Tincu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab61b,Filip-Mladenovic,Jakub Czerwinski,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ab88307f48ce0ab61c,Lucas-Mineiro,,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.17
618f94ab88307f48ce0ab61d,Song-Minkyu,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31
618f94ab88307f48ce0ab61e,Ryan-Mmaee,Christian Fassnacht,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab61f,Thabo-Mnyamane,Phumlani Ntshangase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab620,Nyiko-Mobbie,Thamsanqa Mkhize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab621,Nyiko-Mobbie,Ronwen Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
618f94ab88307f48ce0ab622,Sascha-Mockenhaupt,Dominik Kaiser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ab88307f48ce0ab623,Aubrey-Modiba,Amour Patrick Tignyemb,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab624,Marco-Modolo,Angelo D'Angelo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab625,Marco-Modolo,Leonardo Mancuso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ab88307f48ce0ab626,Luka-Modric,James Milner,0.0,0.0,0.0,20.0,1.0,3.0,0.0,0.5
618f94ab88307f48ce0ab627,Ahmed-Moein,Andre Ayew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab628,Terem-Moffi,Mahdi Camara,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.5
618f94ab88307f48ce0ab629,Tumiso-Mogakwe,Andile Mbenyane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab62a,Dimitri-Mohamed,Mike Vanhamel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab62b,Hamza-Mohamed,Omar Al Somah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab62c,Mostafa-Mohamed,Caner Erkin,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
618f94ab88307f48ce0ab62d,Milad-Mohammadi,Sayed Mohammed Jaffer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab62e,Milad-Mohammadi,Alireza Jahanbakhsh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83
618f94ab88307f48ce0ab62f,Thato-Mokeke,Thabo Nodada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab630,Relebogile-Mokhuoane,Mark Mayambela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab631,Luckyboy-Mokoena,Sibusiso Mbonani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab632,Quirin-Moll,Felix Weber,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.38
618f94ab88307f48ce0ab633,Florent-Mollet,Julien Feret,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
618f94ab88307f48ce0ab634,Florent-Mollet,Georges Mandjeck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab635,Jayson-Molumby,Winston Reid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ab88307f48ce0ab636,Gabriele-Moncini,Daniel Ciofani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
618f94ab88307f48ce0ab637,George-Moncur,Kieffer Moore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
