_id,player,year,comp,gca,shots_on_target,assists,pressures,tackles,interceptions,blocks,average point by temp
618f94ac88307f48ce0b12af,Junior-Morais,2019,Liga I,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.79
618f94ac88307f48ce0b12b0,Thapelo-Morena,2016,Premier Division,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54
618f94ac88307f48ce0b12b1,Shaquell-Moore,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ac88307f48ce0b12b2,Javier-Mier,2021,Segunda División,0.0,0.15,0.04,0.0,0.0,0.35,0.0,0.46
618f94ac88307f48ce0b12b3,Ramon-Mierez,2020,Segunda División,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.59
618f94ac88307f48ce0b12b4,Florian-Miguel,2016,Coupe de la Ligue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618f94ac88307f48ce0b12b5,Sergej-Milinkovic-Savic,2016,Friendlies (M),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618f94ac88307f48ce0b12b6,Calvin-Miller,2019,Championship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39
618f94ac88307f48ce0b12b7,Joseph-Mills,2014,League One,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
618f94ac88307f48ce0b12b8,Alexander-Milosevic,2016,DFB-Pokal,0.0,0.5,0.5,0.0,0.0,1.5,0.0,0.5
618f94ac88307f48ce0b12b9,Robert-Milsom,2015,League Two,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.5
618f94ac88307f48ce0b12ba,Yerry-Mina,2015,Primera Div,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63
